table	isotope	S11A	S12A	S13A	S15A	S18A	S19A	S20A	S22A	S25A	S30A	S30B	S35A	S35B	S35C	S40A	S40B	S40C
6A	58Fe	2.32	2.37	3.84	6.17	8.92	7.10	5.95	8.52	10.86								
6A	59Co	12.81	8.60	13.76	9.59	6.53	6.24	5.30	10.23	7.61								
6A	58Ni	33.46	12.17	18.51	9.13	3.94	4.48	3.64	8.78	4.63								
6A	60Ni	14.45	9.28	17.76	11.48	3.51	5.44	4.38	11.73	5.29								
6A	61Ni	29.33	16.90	36.57	21.47	11.17	13.26	9.74	25.28	16.88								
6A	62Ni	87.40	36.99	54.18	28.53	10.40	14.16	17.36	35.34	17.16								
6A	64Ni	3.23	3.26	5.58	15.59	19.97	20.42	21.92	34.38	53.85								
6A	63Cu	5.47	4.38	5.58	12.64	17.29	14.27	10.25	10.67	26.24								
6A	65Cu	5.06	2.89	12.53	14.36	17.70	18.72	25.26	29.81	40.06								
6A	64Zn	2.90	2.16	3.03	2.53	1.76	2.37	2.55	3.38	3.34								
6A	66Zn	10.11	5.73	7.71	8.14	8.91	12.68	25.96	24.45	25.51								
6A	67Zn	2.01	2.07	2.30	8.16	12.28	14.34	11.69	14.28	44.92								
6A	68Zn	2.22	2.27	3.42	11.89	15.67	18.57	35.95	48.58	74.35								
6A	70Zn	6.82	3.16	19.42	24.24	31.77	47.18	62.16	74.80	109.40								
6A	69Ga	1.67	0.14	4.74	10.81	12.11	29.24	8.42	15.69	42.49								
6A	71Ga	6.82	3.16	19.42	24.24	31.77	47.18	62.16	74.80	109.40								
6A	70Ge	3.52	4.71	6.79	25.58	32.47	51.19	219.69	246.45	141.67								
6B	1H										.57	.53	.58	.52	.49	.57	.48	.44
6B	2H										.08	.07	.08	.07	.06	.07	.06	.05
6B	3He										.95	.87	.97	.86	.81	.95	.81	.73
6B	4He										1.46	1.35	1.56	1.38	1.31	1.71	1.45	1.31
6B	6Li										.08	.07	.08	.07	.07	.07	.06	.06
6B	7Li										4.07	3.17	3.92	3.04	2.73	3.82	2.80	2.31
6B	9Be										.09	.08	.10	.08	.08	.09	.08	.07
6B	10B										.10	.10	.11	.10	.09	.11	.09	.08
6B	11B										9.54	8.11	6.93	7.10	6.59	5.77	7.67	7.04
6B	12C										3.64	3.39	3.58	3.37	3.18	3.74	3.68	3.37
6B	13C										1.68	1.54	1.63	1.45	1.37	1.61	1.37	1.23
6B	14N										3.63	3.34	4.05	3.59	3.40	4.61	3.92	3.54
6B	15N										1.46	1.76	1.03	1.99	2.01	1.75	2.06	2.17
6B	16O										14.67	18.03	11.50	19.37	19.98	8.91	19.31	22.08
6B	17O										10.48	9.62	11.91	10.57	9.99	11.39	9.69	8.75
6B	18O										1.04	.94	.52	.46	.43	.39	.33	.30
6B	19F										10.03	9.40	14.48	17.77	16.45	15.00	22.61	20.01
6B	20Ne										9.07	9.45	11.43	17.50	16.42	9.99	23.60	22.17
6B	21Ne										2.81	2.81	4.78	6.21	5.85	5.04	9.38	8.67
6B	22Ne										16.02	14.71	15.94	14.15	13.36	16.50	14.03	12.61
6B	23Na										7.49	7.31	15.87	20.62	19.38	17.43	33.89	30.54
6B	24Mg										15.90	19.39	8.56	17.77	17.78	4.78	13.73	16.71
6B	25Mg										14.44	15.09	14.04	21.00	19.73	11.79	24.52	23.42
6B	26Mg										16.19	16.40	17.91	24.91	23.41	15.73	31.58	29.54
6B	27Al										26.15	30.98	18.37	34.97	33.95	12.81	34.23	36.82
6B	28Si										5.77	17.16	2.29	5.48	19.81	1.37	2.57	23.85
6B	29Si										26.87	35.03	10.91	27.65	28.52	4.32	14.80	23.55
6B	30Si										32.48	51.95	10.37	32.53	41.52	3.77	11.71	36.39
6B	31P										23.26	32.51	9.16	22.80	25.74	4.96	11.77	22.35
6B	32S										1.35	8.95	.99	1.36	12.90	.93	.90	16.56
6B	33S										2.09	6.26	1.26	2.67	6.34	1.12	1.18	7.20
6B	34S										3.58	13.86	1.41	3.92	14.17	1.05	1.27	15.71
6B	36S										26.88	31.54	17.59	30.65	29.67	13.67	29.20	30.79
6B	35Cl										5.43	10.75	1.64	5.06	8.14	1.19	1.56	8.61
6B	37Cl										8.53	9.94	8.89	11.94	12.53	8.14	14.66	15.46
6B	36Ar										.86	7.34	.87	.82	11.16	.89	.77	13.99
6B	38Ar										1.49	6.10	1.39	1.69	6.47	1.33	1.69	7.54
6B	40Ar										28.67	30.77	24.48	39.75	37.34	19.28	43.19	42.12
6B	39K										1.56	3.53	1.38	1.75	3.65	1.29	1.69	4.34
6B	40K										29.11	32.45	24.18	35.78	34.36	20.99	36.23	37.22
6B	41K										2.12	3.27	2.05	2.35	3.41	1.95	2.48	3.93
6B	40Ca										.85	7.90	.88	.79	12.11	.90	.78	14.67
6B	42Ca										1.62	6.29	1.52	1.85	6.55	1.43	1.90	7.65
6B	43Ca										2.16	3.29	1.95	2.58	3.70	1.77	2.70	3.87
6B	44Ca										1.15	4.62	1.14	1.21	5.33	1.11	1.24	5.63
6B	46Ca										24.88	28.40	14.48	29.83	28.05	8.95	24.31	26.57
6B	48Ca										.93	.86	.96	.91	.86	.97	.93	.84
6B	45Sc										5.26	8.28	4.04	6.65	7.21	3.23	6.41	7.36
6B	46Ti										1.37	5.60	1.26	1.49	5.43	1.21	1.39	6.80
6B	47Ti										1.25	2.10	1.13	1.33	2.19	1.07	1.24	2.23
6B	48Ti										.86	7.50	.88	.81	9.68	.89	.80	10.36
6B	49Ti										2.24	6.56	2.13	2.65	9.42	2.05	2.77	10.38
6B	50Ti										4.59	5.15	3.85	5.88	5.70	3.26	5.96	6.23
6B	50V										13.71	22.50	4.74	15.23	18.55	2.51	6.46	18.37
6B	51V										1.03	5.09	1.02	1.05	7.68	1.02	1.02	8.68
6B	50Cr										.79	7.18	.81	.73	11.04	.83	.70	14.79
6B	52Cr										.84	9.46	.87	.78	13.99	.89	.77	15.79
6B	53Cr										.89	7.85	.92	.84	12.56	.94	.84	14.27
6B	54Cr										3.53	4.11	3.17	4.35	4.72	2.94	4.59	5.24
6B	55Mn										.91	6.07	.96	.87	8.34	1.00	.86	9.34
6B	54Fe										.80	6.67	.83	.74	10.98	.85	.72	14.14
6B	56Fe										.82	14.46	.85	.76	15.85	.87	.75	17.23
6B	57Fe										1.35	20.33	1.47	1.41	22.15	1.61	1.52	22.75
6B	58Fe										10.36	11.67	8.91	13.10	12.90	8.59	14.09	14.75
6B	59Co										4.47	16.51	4.52	6.22	19.29	4.48	7.56	20.46
6B	58Ni										.80	16.19	.82	.73	23.15	.84	.71	20.05
6B	60Ni										1.58	20.07	1.55	1.80	20.34	1.48	1.92	21.30
6B	61Ni										12.42	41.40	10.18	16.31	43.99	8.23	16.42	44.97
6B	62Ni										10.80	59.29	6.84	12.03	69.42	5.34	10.26	63.20
6B	64Ni										62.65	72.35	47.12	82.67	79.31	35.64	81.15	86.84
6B	63Cu										23.75	26.99	22.89	35.91	35.93	18.71	42.57	42.68
6B	65Cu										31.14	37.66	31.66	50.51	50.82	28.34	56.73	64.05
6B	64Zn										2.31	4.33	2.51	2.86	4.61	2.46	3.37	5.15
6B	66Zn										21.41	31.02	21.52	32.36	39.38	18.87	39.05	46.89
6B	67Zn										48.12	51.36	47.63	74.13	69.75	40.47	92.70	87.14
6B	68Zn										94.90	115.15	67.37	128.81	127.01	47.01	115.85	135.71
6B	70Zn										14.84	26.43	20.59	62.02	61.29	10.78	52.82	73.23
6B	69Ga										70.77	87.66	80.93	136.96	135.80	74.17	167.92	190.40
6B	71Ga										1193.63	1308.63	990.57	1687.31	1581.88	765.50	1877.02	1833.20
6B	70Ge										128.50	217.85	94.15	200.02	234.77	76.27	165.47	273.54
